"ALP10,ALASAAD,,218,SYP,""1,735,766.00"",""322,830.00"",""829,187.00"",0,""2,887,783.00"",0,""2,887,783.00"",Detail",report_from_date,report_to_date
"DXB48,AL MOUKTAR TRAVEL & TOURISM LLC,,none,AED,""5,160.00"",""7,550.00"",""25,473.00"",0,""49,283.00"",""11,540.00"",""37,743.00"",Detail",,
"DXB48,AL MOUKTAR TRAVEL & TOURISM LLC,,none,USD,0,0,0,0,0,0,0,Detail",,
"DXB49,SAMAALOPHOQ TRAVEL & TOURISM,,dxb00044,AED,""3,048.00"",""1,892.00"",""7,098.00"",0,""12,038.00"",0,""12,038.00"",Detail",,
"DXB49,SAMAALOPHOQ TRAVEL & TOURISM,,dxb00044,USD,0,0,0,0,0,0,0,Detail",,
"DXB50,AL BUKKAI FOR TRAVEL AND TOURISM LLC,,DXB00045,USD,0,0,0,0,0,0,0,Detail",,
"DXB53,SKY MASTER TRAVEL LLC,,DXB00046,AED,""27,053.00"",""11,269.00"",""37,197.00"",0,""78,976.00"",""3,457.00"",""75,519.00"",Detail",,
"DXB53,SKY MASTER TRAVEL LLC,,DXB00046,USD,0,0,0,0,0,0,0,Detail",,
"DXB57,DARIN TRAVEL AND TOURS LLC,,DXB00050,AED,""11,656.00"",""6,301.00"",""23,856.00"",0,""41,813.00"",0,""41,813.00"",Detail",,
"DXB57,DARIN TRAVEL AND TOURS LLC,,DXB00050,USD,0,0,0,0,0,0,0,Detail",,
"DXB58,PHOENIQ TRAVEL AGENCY LLC,,DXB00049,AED,""16,980.00"",""4,993.00"",""19,136.00"",0,""41,109.00"",0,""41,109.00"",Detail",,
"DXB58,PHOENIQ TRAVEL AGENCY LLC,,DXB00049,USD,0,0,0,0,0,0,0,Detail",,
"DXB60,ALAM MARIA TRAVEL AND TOURISM LLLC,,DXB00053,AED,""17,253.00"",""9,118.00"",""33,365.00"",0,""63,256.00"",""3,520.00"",""59,736.00"",Detail",,
"DXB60,ALAM MARIA TRAVEL AND TOURISM LLLC,,DXB00053,USD,0,0,0,0,0,0,0,Detail",,
"DXB61,RAHLAT MOHTARIF TRAVEL AGENCY LLC,,DXB00052,AED,""8,359.00"",""3,709.00"",""12,745.00"",0,""24,813.00"",0,""24,813.00"",Detail",,
"DXB61,RAHLAT MOHTARIF TRAVEL AGENCY LLC,,DXB00052,USD,0,0,0,0,0,0,0,Detail",,
"DXB62,SWEN TOURISM,,DXB00054,AED,""7,111.00"",""2,104.00"",""7,911.00"",0,""17,126.00"",0,""17,126.00"",Detail",,
"DXB62,SWEN TOURISM,,DXB00054,USD,0,0,0,0,0,0,0,Detail",,
"DXB63,ZANOBIA TOURISM,,DXB00055,AED,""22,704.00"",""2,948.00"",""12,713.00"",0,""38,365.00"",660,""37,705.00"",Detail",,
"DXB63,ZANOBIA TOURISM,,DXB00055,USD,0,0,0,0,0,0,0,Detail",,
"DXB68,DAR AL SHAM TRAVEL AND TOURISM LLC,,DXB0065,AED,""6,191.00"",""5,114.00"",""17,580.00"",0,""29,866.00"",981,""28,885.00"",Detail",,
"DXB68,DAR AL SHAM TRAVEL AND TOURISM LLC,,DXB0065,USD,0,0,0,0,0,0,0,Detail",,
"DXB70,ALASAL TOURISM & TRAVEL LLC,,dxb0067,AED,""20,290.00"",""8,065.00"",""28,118.00"",0,""61,925.00"",""6,002.00"",""55,923.00"",Detail",,
"DXB70,ALASAL TOURISM & TRAVEL LLC,,dxb0067,USD,0,0,0,0,0,0,0,Detail",,
"DXB71,SURIANA TOURS & TRAVEL LLC,,68,AED,""10,808.00"",""6,597.00"",""25,063.00"",0,""43,449.00"",981,""42,468.00"",Detail",,
"DXB71,SURIANA TOURS & TRAVEL LLC,,68,USD,0,0,0,0,0,0,0,Detail",,
"DXB73,ARABIAN STAR TOURS LLCDXB,,dxb70,AED,74,137,439,0,650,0,650,Detail",,
"DXB76,SKAZKA TOURISM & TRAVEL LLC,,73,AED,""1,018.00"",773,""2,858.00"",0,""4,649.00"",0,""4,649.00"",Detail",,
"DXB76,SKAZKA TOURISM & TRAVEL LLC,,73,USD,0,0,0,0,0,0,0,Detail",,
"DXB78,ALWATHEQ TRAVEL AND TOURISM LLC,,75,AED,852,229,""1,100.00"",0,""2,181.00"",0,""2,181.00"",Detail",,
"DXB79,YARA DEEB TRAVEL AGENCY LLC,,76,AED,""6,228.00"",""4,378.00"",""17,149.00"",0,""27,755.00"",0,""27,755.00"",Detail",,
"DXB79,YARA DEEB TRAVEL AGENCY LLC,,76,USD,0,0,0,0,0,0,0,Detail",,
"DXB8,UNITED TOURIST MANAGEMENT LLC,,DXB0007,AED,""18,046.00"",""7,397.00"",""28,588.00"",0,""54,031.00"",0,""54,031.00"",Detail",,
