"Departure Date

","Flight Number
","Segment
","Booked Load
(Adult/Infant)","Go Shows
",No Recs.,No Shows,"Flown Load
",report_from_date,report_to_date
08/16/2025,RB516,DXB/DAM,84 \ 2,0.0,0.0,2.0,84,2025-08-01,
08/16/2025,RB521,DAM/DOH,62 \ 4,0.0,0.0,0.0,0,2025-08-01,
08/16/2025,RB501,DAM/SHJ,156 \ 6,0.0,0.0,0.0,162,2025-08-01,
08/16/2025,RB341,DAM/KWI,152 \ 6,0.0,0.0,3.0,155,2025-08-01,
08/16/2025,RB522,DOH/DAM,1 \ 0,0.0,0.0,0.0,0,2025-08-01,
08/16/2025,RB342,KWI/DAM,117 \ 6,0.0,1.0,2.0,120,2025-08-01,
08/16/2025,RB502,SHJ/DAM,30 \ 1,0.0,0.0,1.0,30,2025-08-01,
08/16/2025,RB445,DAM/IST,59 \ 1,0.0,0.0,2.0,58,2025-08-01,
08/16/2025,RB521,DAM/DOH,91 \ 3,0.0,2.0,4.0,88,2025-08-01,
08/16/2025,RB446,IST/DAM,47 \ 1,0.0,0.0,0.0,48,2025-08-01,
08/17/2025,RB522,DOH/DAM,57 \ 2,0.0,0.0,11.0,48,2025-08-01,
08/17/2025,RB505,DAM/SHJ,138 \ 1,0.0,0.0,2.0,137,2025-08-01,
08/17/2025,RB381,DAM/JED,138 \ 1,0.0,0.0,2.0,137,2025-08-01,
08/17/2025,RB506,SHJ/DAM,66 \ 4,0.0,1.0,4.0,65,2025-08-01,
08/17/2025,RB382,JED/DAM,35 \ 0,0.0,0.0,8.0,27,2025-08-01,
08/17/2025,RB443,DAM/IST,148 \ 5,0.0,0.0,4.0,149,2025-08-01,
08/17/2025,RB501,DAM/SHJ,152 \ 3,0.0,0.0,1.0,154,2025-08-01,
08/17/2025,RB444,IST/DAM,102 \ 3,0.0,0.0,1.0,104,2025-08-01,
08/17/2025,RB515,DAM/DXB,147 \ 5,0.0,0.0,1.0,151,2025-08-01,
08/17/2025,RB502,SHJ/DAM,35 \ 0,0.0,0.0,3.0,32,2025-08-01,
08/17/2025,RB357,DAM/MJI,7 \ 0,0.0,0.0,0.0,7,2025-08-01,
08/17/2025,RB516,DXB/DAM,50 \ 0,0.0,0.0,3.0,47,2025-08-01,
08/17/2025,RB358,MJI/DAM,58 \ 1,0.0,0.0,0.0,59,2025-08-01,
08/18/2025,RB389,DAM/RUH,161 \ 3,0.0,0.0,0.0,164,2025-08-01,
08/18/2025,RB443,DAM/IST,73 \ 0,0.0,0.0,0.0,73,2025-08-01,
08/18/2025,RB515,DAM/DXB,149 \ 1,0.0,0.0,1.0,149,2025-08-01,
08/18/2025,RB390,RUH/DAM,52 \ 2,0.0,1.0,1.0,52,2025-08-01,
08/18/2025,RB444,IST/ALP,106 \ 3,0.0,0.0,2.0,107,2025-08-01,
08/18/2025,RB516,DXB/DAM,63 \ 2,0.0,0.0,6.0,59,2025-08-01,
08/18/2025,RB517,ALP/DXB,151 \ 3,0.0,0.0,2.0,152,2025-08-01,
08/18/2025,RB501,DAM/SHJ,144 \ 3,0.0,0.0,1.0,146,2025-08-01,
08/18/2025,RB518,DXB/ALP,70 \ 2,0.0,0.0,1.0,71,2025-08-01,
08/18/2025,RB521,DAM/DOH,157 \ 13,0.0,0.0,1.0,169,2025-08-01,
