Flight Date,Flight No,Segment,COS,Seats Allocate,Over sell,Curtailed,Seats Sold,On Hold,Fixed,Seats Available,Fare Collection(USD),Seat Factor,Sur Charge,Flight Status,Baggage ,Sold Seats ,Ava.Seats 
8/21/2025,RB502,SHJ/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/21/2025,RB502,SHJ/DAM,Y,145,0,0,29,0,0,116,"1,073.24",20%,0,ACT,0,29,116
8/21/2025,RB445,DAM/IST,C,12,0,0,6,0,0,6,"1,664.00",50%,0,ACT,0,6,6
8/21/2025,RB445,DAM/IST,Y,141,0,0,70,0,0,71,"7,392.08",50%,0,ACT,0,70,71
8/22/2025,RB446,IST/DAM,C,12,0,0,11,0,0,1,"3,947.75",92%,0,ACT,0,11,1
8/22/2025,RB446,IST/DAM,Y,141,0,0,37,0,0,104,"3,794.75",26%,0,ACT,0,37,104
8/22/2025,RB505,DAM/SHJ,C,12,0,0,4,0,0,8,"1,264.42",33%,0,ACT,0,4,8
8/22/2025,RB505,DAM/SHJ,Y,145,0,0,141,0,0,4,"22,090.11",97%,0,ACT,0,141,4
8/22/2025,RB503,DAM/AUH,C,12,0,0,5,0,0,7,"1,600.09",42%,0,ACT,0,5,7
8/22/2025,RB503,DAM/AUH,Y,148,0,0,140,0,0,8,"25,799.46",95%,0,ACT,0,140,8
8/22/2025,RB515,DAM/DXB,C,12,0,0,11,0,0,1,"4,001.17",92%,0,ACT,0,11,1
8/22/2025,RB515,DAM/DXB,Y,145,0,0,142,0,0,3,"20,013.98",98%,0,ACT,0,142,3
8/22/2025,RB506,SHJ/DAM,C,12,0,0,1,0,0,11,361.27,8%,0,ACT,0,1,11
8/22/2025,RB506,SHJ/DAM,Y,145,0,0,67,0,0,78,"4,427.87",46%,0,ACT,0,67,78
8/22/2025,RB504,AUH/DAM,C,12,0,0,1,0,0,11,255,8%,0,ACT,0,1,11
8/22/2025,RB504,AUH/DAM,Y,148,0,0,95,0,0,53,"6,789.60",64%,0,ACT,0,95,53
8/22/2025,RB516,DXB/DAM,C,12,0,0,5,0,0,7,"1,375.34",42%,0,ACT,0,5,7
