,,COMPANY PAYMENTS,,,,,,,,,,
,,Summary Report,,,,,,,,,,
From Date,01/01/2025,,,,,,,,,Report ID,UC_REPM_02,
To Date,22/09/2025,,,,,,,,,Print Date,24/09/2025,
Entity,Reservation,,,,,,,,,Print Time,15:13:46,ZULU
Agent/GSA Code,Agent/GSA Name,Agent IATA ,Account Code,Currency,Fare Amount,Tax Amount,Surcharge Amount,Modify Amount,Payment Amount,Refund Amount,Net Amount,To Detail
DAM206,arm usd,,dam00601,USD,143.00,28.71,75.00,0.00,246.71,0.00,246.71,Detail
DAM207,world link usd,,dam00602,USD,"2,269.74",569.53,"1,515.00",0.00,"4,615.47",261.20,"4,354.27",Detail
DAM210,ALTAHADI TOURS USD,,DAM007,USD,"1,892.80",427.08,"1,125.00",0.00,"3,444.88",0.00,"3,444.88",Detail
DAM211,Almultazam,,00259,SYP,"33,691,321.00","5,345,935.00","13,266,999.00",0.00,"52,304,255.00",0.00,"52,304,255.00",Detail
DAM212,Almultazam usd,,00259,USD,"4,281.20",810.69,"2,415.00",0.00,"7,506.89",0.00,"7,506.89",Detail
DAM213,Dam Intfair,,DAM-intfair,SYP,"27,602,985.00","6,779,878.00","17,412,940.00",0.00,"51,795,803.00",0.00,"51,795,803.00",Detail
DAM213,Dam Intfair,,DAM-intfair,USD,61.90,25.87,75.00,0.00,162.77,0.00,162.77,Detail
DAM25,LAYAL TRAVEL,,00101,SYP,"1,224,089,027.00","253,134,881.00","704,674,395.00",0.00,"2,289,154,164.00","107,255,861.00","2,181,898,303.00",Detail
DAM25,LAYAL TRAVEL,,00101,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM26,MAWAKEB ALSHARQ,,00102,SYP,"350,632,738.00","84,918,839.00","215,018,825.00",0.00,"662,471,187.00","11,900,785.00","650,570,402.00",Detail
DAM26,MAWAKEB ALSHARQ,,00102,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM28,PANORAMA,,00104,SYP,"43,169,022.00","9,056,119.00","30,588,613.00",0.00,"97,140,454.00","14,326,700.00","82,813,754.00",Detail
DAM28,PANORAMA,,00104,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM29,TAJ ALSHAM,,00105,SYP,"204,500,014.00","47,827,576.00","152,520,847.00",0.00,"453,459,210.00","48,610,773.00","404,848,437.00",Detail
DAM29,TAJ ALSHAM,,00105,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM3,AL FARDOS,09631123,09631123,KWD,11.505,0.00,9.24,0.00,20.745,0.00,20.745,Detail
DAM3,AL FARDOS,09631123,09631123,SAR,0.00,0.00,676.00,0.00,676.00,0.00,676.00,Detail
DAM3,AL FARDOS,09631123,09631123,SYP,"417,129,519.00","74,371,805.00","199,190,220.00",0.00,"690,691,544.00",0.00,"690,691,544.00",Detail
DAM3,AL FARDOS,09631123,09631123,USD,"65,291.53","9,932.08","26,535.69",0.00,"101,759.30",0.00,"101,759.30",Detail
DAM30,ALMITHAQ,,00106,SYP,"160,745,299.00","34,851,922.00","76,014,673.00",0.00,"284,786,873.00","13,174,979.00","271,611,894.00",Detail
DAM32,ALSHRIAA,,00108,SYP,"742,028,761.00","164,733,205.00","476,108,888.00",0.00,"1,421,398,326.00","38,527,472.00","1,382,870,854.00",Detail
DAM32,ALSHRIAA,,00108,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM33,SUNNY LAND,,00109,SYP,"89,814,201.00","18,635,980.00","57,331,473.00",0.00,"188,547,170.00","22,765,516.00","165,781,654.00",Detail
DAM33,SUNNY LAND,,00109,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM36,ALRAMAT,,00112,SYP,"657,019,670.00","85,814,747.00","271,923,528.00",0.00,"1,054,656,995.00","39,899,050.00","1,014,757,945.00",Detail
DAM36,ALRAMAT,,00112,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM38,ALQEMEH,,00114,SYP,"25,186,351.00","3,761,672.00","10,711,185.00",0.00,"39,659,208.00",0.00,"39,659,208.00",Detail
DAM38,ALQEMEH,,00114,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM4,SABAA BAHRAT,09631160,0961160,AED,"2,934.00",687.00,"2,640.00",0.00,"6,261.00",0.00,"6,261.00",Detail
DAM4,SABAA BAHRAT,09631160,0961160,SYP,"182,374,759.00","72,008,420.00","87,316,725.00",0.00,"341,699,904.00",0.00,"341,699,904.00",Detail
DAM4,SABAA BAHRAT,09631160,0961160,USD,"17,053.73","3,639.96","7,784.38",0.00,"28,478.07",0.00,"28,478.07",Detail
DAM43,SYRIAN TRAVEL & TOURISM AGENCY,,00119,SYP,"8,352,964,777.00","1,933,997,784.00","5,435,228,867.00",0.00,"16,517,461,146.00","795,269,718.00","15,722,191,428.00",Detail
DAM43,SYRIAN TRAVEL & TOURISM AGENCY,,00119,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM44,ALAWABEEN,,00120,SYP,"485,756,669.00","105,354,265.00","279,346,196.00",0.00,"922,550,993.00","52,093,863.00","870,457,130.00",Detail
DAM44,ALAWABEEN,,00120,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM46,NOUR TARTOUS,,00122,SYP,"2,564,953.00","776,783.00","2,653,399.00",0.00,"5,995,135.00",0.00,"5,995,135.00",Detail
DAM47,ALAM ALSAFIRAH,,00123,SYP,"24,223,503.00","7,265,149.00","20,071,435.00",0.00,"51,560,087.00",0.00,"51,560,087.00",Detail
DAM47,ALAM ALSAFIRAH,,00123,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM48,MOUNTAIN ROSE,,00124,SYP,"231,965,569.00","51,384,012.00","128,711,054.00",0.00,"425,122,983.00","13,062,348.00","412,060,635.00",Detail
DAM48,MOUNTAIN ROSE,,00124,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM50,URJUWAN,,00125,SYP,"8,834,801.00","2,827,969.00","7,537,808.00",0.00,"28,376,808.00","9,176,230.00","19,200,578.00",Detail
DAM50,URJUWAN,,00125,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM51,ALMUDIFAH,,00126,SYP,"210,789,810.00","51,001,230.00","135,749,319.00",0.00,"401,521,454.00","3,981,095.00","397,540,359.00",Detail
DAM51,ALMUDIFAH,,00126,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM54,SUN LIGHT,,00130,SYP,"132,250,813.00","25,158,621.00","76,615,475.00",0.00,"234,024,909.00",0.00,"234,024,909.00",Detail
DAM54,SUN LIGHT,,00130,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM55,ODYSSEY,,00131,SYP,"70,049,541.00","16,819,858.00","44,669,088.00",0.00,"131,538,487.00",0.00,"131,538,487.00",Detail
DAM55,ODYSSEY,,00131,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM56,ALSAYED,,00132,SYP,"94,243,719.00","14,306,561.00","42,884,401.00",0.00,"151,434,681.00",0.00,"151,434,681.00",Detail
DAM56,ALSAYED,,00132,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM57,ALAGHAR,,00133,SYP,"609,234,216.00","135,041,258.00","346,153,406.00",0.00,"1,098,397,924.00","7,969,044.00","1,090,428,880.00",Detail
DAM57,ALAGHAR,,00133,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM63,ALSHAHEEN,,00141,SYP,"502,339,439.00","112,627,607.00","334,471,341.00",0.00,"967,781,239.00","18,342,852.00","949,438,387.00",Detail
DAM63,ALSHAHEEN,,00141,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM66,EVEREST,,00146,SYP,"2,877,883.00","196,744.00","1,017,639.00",0.00,"4,092,266.00",0.00,"4,092,266.00",Detail
DAM67,ALDAWLY,,00147,SYP,"1,494,256,021.00","323,637,729.00","791,535,679.00",0.00,"2,877,649,434.00","268,220,005.00","2,609,429,429.00",Detail
DAM67,ALDAWLY,,00147,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM68,GILGAMISH,,00176,SYP,"720,377,326.00","172,420,654.00","484,738,033.00",0.00,"1,450,277,220.00","72,741,207.00","1,377,536,013.00",Detail
DAM68,GILGAMISH,,00176,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM69,ORFALI,,00151,SYP,"501,118,226.00","111,090,158.00","301,504,466.00",0.00,"957,755,254.00","44,042,404.00","913,712,850.00",Detail
DAM69,ORFALI,,00151,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM7,AIRPORT SALES OFFICE,,09631145,AED,"2,204.00",408.00,"2,559.00",0.00,"5,171.00",0.00,"5,171.00",Detail
DAM7,AIRPORT SALES OFFICE,,09631145,QAR,42.52,1.02,273.68,0.00,317.22,0.00,317.22,Detail
DAM7,AIRPORT SALES OFFICE,,09631145,SAR,"22,025.00","3,287.00","6,747.00",0.00,"32,059.00",0.00,"32,059.00",Detail
DAM7,AIRPORT SALES OFFICE,,09631145,SYP,"822,443,108.00","158,531,428.00","420,022,579.00",0.00,"1,400,997,115.00",0.00,"1,400,997,115.00",Detail
DAM7,AIRPORT SALES OFFICE,,09631145,USD,"59,464.37","10,883.97","29,186.21",0.00,"99,534.55",0.00,"99,534.55",Detail
DAM70,MARROTA,,00153,SYP,"859,955,742.00","210,621,537.00","559,321,677.00",0.00,"1,668,828,622.00","38,929,666.00","1,629,898,956.00",Detail
DAM70,MARROTA,,00153,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM71,ALQAWS,,00154,SYP,"7,344,429.00","1,208,754.00","2,713,461.00",0.00,"11,266,644.00",0.00,"11,266,644.00",Detail
DAM73,ALRASSAM,,00156,SYP,"1,534,748,648.00","349,411,028.00","959,937,984.00",0.00,"3,016,327,977.00","172,230,317.00","2,844,097,660.00",Detail
DAM73,ALRASSAM,,00156,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM77,SKY SYRIA,,00161,SYP,"107,975,853.00","21,602,988.00","64,824,832.00",0.00,"198,384,768.00","3,981,095.00","194,403,673.00",Detail
DAM77,SKY SYRIA,,00161,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM8,RESERVATION SECTION,,000001,SYP,"9,652,703.00","433,442.00","331,744.00",0.00,"30,107,462.00","19,689,573.00","10,417,889.00",Detail
DAM8,RESERVATION SECTION,,000001,USD,0.00,0.00,90.00,0.00,90.00,0.00,90.00,Detail
DAM82,ALMARSA,,00163,SYP,"382,274,116.00","88,923,187.00","234,307,889.00",0.00,"712,378,824.00","6,873,632.00","705,505,192.00",Detail
DAM82,ALMARSA,,00163,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM83,PALMYRA,,00165,SYP,"73,768,554.00","11,031,428.00","34,857,136.00",0.00,"119,657,118.00",0.00,"119,657,118.00",Detail
DAM83,PALMYRA,,00165,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM84,HOMS SALES OFFICE,,09633116,SYP,"-435,035,178.00","-126,001,299.00","-530,603,102.00",0.00,"610,166,250.00","1,705,843,555.00","-1,095,677,305.00",Detail
DAM84,HOMS SALES OFFICE,,09633116,USD,"3,333.24",645.58,"1,710.04",0.00,"5,688.86",0.00,"5,688.86",Detail
DAM87,SHAM WATFEH,,00172,SYP,"583,537,073.00","124,155,902.00","359,472,986.00",0.00,"1,080,338,782.00","13,172,821.00","1,067,165,961.00",Detail
DAM87,SHAM WATFEH,,00172,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
