,,RESERVATION BREAKDOWN,,,,,,
,,Summary Report,,,,,,
,,,,,,Report ID :,UC_REPM_001,
From Date,: 01/08/2025,,,,,Print Date :,30/08/2025,
To Date,: 30/08/2025,,,,,Print Time :,11.34.27,Zulu
Travel Agent ,Travel Agent Name,Fare(USD),Taxes(USD),Surcharges(USD),Total(USD),Refund(USD),To Detail,
DAM162,HAWA BAGHDAD,"1,469.70",378.08,"1,005.00","2,852.78",455.57,Detail,
QHS2,ILIAD,275.63,85.42,225,586.05,0,Detail,
DXB40,JABOR TRAVEL AND TOURISM LLC,"2,582.93","1,442.73","5,263.50","9,289.16",267.37,Detail,
LTK7,JALJOUL TRAVEL & TOURISM,366.63,64.29,195,625.92,0,Detail,
SHJ7,JOELLE,"1,734.66",968.58,"3,741.75","6,444.99","1,354.92",Detail,
QHM8,LABABEDI,609.11,161.3,510,"1,280.41",0,Detail,
DAM25,LAYAL TRAVEL,"15,557.17","3,900.47","10,680.00","30,137.64",252.99,Detail,
DXB27,LAZURDE,"1,976.85","1,002.06","3,495.00","6,473.91",0,Detail,
DAM109,LUXOR,"2,466.20","1,024.39","3,390.00","6,880.59",0,Detail,
QAJ2,MAJD,"8,453.95","3,719.66","14,945.25","27,118.86",0,Detail,
Syrian Air Reservation System,,,,,,,,
,,,,,,,Page 1,
*** End of Report ***,,,,,,,,
